id,title,handle,country,subs,videos,views,avg_per_video,views_per_sub,desc_draw_signal,desc_anim_signal,desc_snippet
UC_FStSURaDad8-xo6jH1j4Q,Bernard,@bernardanimationofficial,US,356000,80,34878675,435983.4375,97.97380617977528,1,0,I love making Stick Figure Videos to Discuss Why Life Sucks
UCszwKNzo_rfChvqZj1waUiQ,Infinity Science WHITEBOARD,@infinitysciencewhiteboard,IN,16,9,9259,1028.7777777777778,578.6875,1,1,"Welcome to Infinity Science Whiteboard.  ⭐ Infinity Science Whiteboard explains science and technology concepts in a clear, simple, and engaging way f"
UC9gA0k_brREYQ1arPj_dnCw,WhiteBoard by Akbar,@whiteboardbyakbar,IN,5780,226,462537,2046.6238938053095,80.02370242214533,1,0,"Show your support by like,share and subscribe."
UC72GyQ0o750H-kkoRlBWmoQ,Whiteboard Medicine Simplified,@whiteboardmedicinesimplified,IN,1340,101,111122,1100.217821782178,82.92686567164179,1,0,"""Whiteboard Medicine Simplified"" is an educational YouTube channel dedicated to breaking down complex medical concepts into easy-to-understand explana"
UCgaPif_0rMlOV1F2k5XVb7g,Whiteboard classes,@whiteboardclasses,IN,11500,828,747367,902.6171497584542,64.98843478260869,1,0,"Welcome to my channel! Here you’ll find complete guidance for Banking Exams (IBPS PO, Clerk, SBI PO, Clerk, RRB PO, Clerk, RBI, LIC and other insuranc"
UCdLSow8MG-5ajcxJ9MjqSUA,Gildedguy,@gildedguy,US,893000,120,138591220,1154926.8333333333,155.19733482642778,0,1,"Storytelling through animation, music, and a little golden knight.  Support on Patreon► https://www.patreon.com/gildedguy Watch Live ► http://www.twit"
UCFAm3YFwZMIn09CcuU6KcLQ,White board education,@whiteboardeducation1695,IN,933,245,121863,497.4,130.61414790996784,1,0,Welcome to white board education. The purpose of this channel is to provide best education. #whiteboardeducation  
UCvgvBrxGRasKGrRGv5BSwrQ,White Board Academy,@sonu.ansari94,IN,282,65,50312,774.0307692307692,178.4113475177305,1,0,White Board Academy mein aapka swagat hai😊🙏. Yeh channel un students 🧑‍🎓👩‍🎓 ke liye hai jo  Science & Maths ko simple aur clear tareeke se samajhna ch
UClHClS64yELGkrAnMjPucsA,Alfaisal University Whiteboard,@alfaisaluniversitywhiteboa7539,,6070,14,348108,24864.85714285714,57.3489291598023,1,0,
UCgH0HN0Uk8-q_0toSlHK8VA,History Doodles,@historydoodlessss,US,13,25,4672,186.88,359.38461538461536,1,1,Welcome to History Doodles  where history comes to life through fun stickman animations and hand-drawn doodles!  We create entertaining and educationa
UCly58gB7268VKzsH4zlMMvQ,Siebert Science,@siebertscience,US,481000,163,24339237,149320.47239263804,50.60132432432432,1,0,"Videos to help you learn Anatomy & Physiology!  Welcome to Siebert Science! My name is Justin Siebert, and I have taught science for over a decade: pr"
UC-BHPxmpTTIZ0N2V2Llp7GQ,Whiteboard Academy ,@whiteboardacademy-2023,IN,44000,284,2152371,7578.771126760564,48.917522727272726,1,0,"For all competitive exams        #first grade #first grade vacancy 2024 #1st grade,rpsc 1st grade new vacancy 2024,rpsc 1st grade new vacancy,1st grad"
UCaOfk-PrR2EoImkIihPfbyg,Stick_Mind ,@stickmind26-m7j,AU,6,1,33,33.0,5.5,1,1,"Welcome to StickMind!  Simple stick figures. Powerful ideas.  We create engaging animated videos about psychology, self-improvement, life lessons, suc"
UCmd5Mq39cHKHvLZbEjADXjQ,Stick Figure Animation,@stickfiguranimation-w1f,PK,100,1,14,14.0,0.14,1,1,"Stick Figure Animation brings fun, creative, and engaging stick figure animations to life. On this channel, you’ll find stick figure stories, stick fi"
UClHptD5dWbr9IoWkZ0ElOVQ,The Whiteboard Biologist,@thewhiteboardbiologist,IN,41,2,4940,2470.0,120.48780487804878,1,1,"Welcome to ""The Whiteboard Biologist""!  This is an option for anyone who loves life science and wants to learn more about the fascinating world of bio"
UCQRj36Y2gpLmfydMe2sTEQg,Whiteboard Psychology,@whiteboardpsych,,3,4,44,11.0,14.666666666666666,1,0,"Welcome to Whiteboard Psych — where we break down the psychology of money, behavioral finance, and cognitive biases that quietly control your decision"
UCMmtliJhOOZsHJBx4MU5CZg,StickToons,@sticktoons003,,20,12,17181,1431.75,859.05,1,1,StickToons creates simple stick figure animations that explain relatable psychology and everyday human behavior.  Ever wondered why we overthink conve
UCIE9fd2JZS-Oap6DdQW-qUg,Whiteboard Explanations,@whiteboardexplanations,,12,14,1999,142.78571428571428,166.58333333333334,1,0,"A learning channel, where concepts are explained clearly to make learning easy, logical, and effective. Subscribe to learn with clarity."
UCvRV-y46YcIwwQkOFlhb3Jg,SmartBoardAI,@smartboardai,,12,9,508,56.44444444444444,42.333333333333336,1,1,SmartBoardAI is an AI-powered whiteboard learning channel that helps you learn complex concepts visually.  We create educational videos using AI-drive
UC8v8TbVZ6wAhPtxSO9ErY5A,Zenn,@zennn008,GB,12,2,43,21.5,3.583333333333333,1,1,"Welcome to Zenn — a channel where minimalist stick figure animation meets real stories, psychology, science, comedy, and everyday life. Every video is"
UCoDS8qMSU5SLamZkf1ABDIA,The Whiteboard Engineer,@thewhiteboardengineer,,1,2,16,8.0,16.0,1,0,Teach and discuss about Data and AI!
UCLcSynBLpIf51CfKpcRkImA,Magical Whiteboard Educational Channel,@anantadevpal,IN,6100,1765,4841091,2742.82776203966,793.6214754098361,1,0,THIS CHANNEL IS  DEDICATED TO ALL LEARNERS TO HELP THEM TO LEARN BASIC AND DEEP KNOWLEDGE OF EVERY TOPICS OF COMPUTER SCIENCE & ENGINEERING & COMPETIT
UCQ-PA2GYKYMJ1oauBtqqZHw,Stick Figure Blueprint,@stickfigureblueprint,,49,55,15376,279.5636363636364,313.7959183673469,1,1,"This channel turns big life lessons into clean, visual stick-figure animations that are easy to understand and impossible to forget.  If you want to: "
UCFFg9Im60Rq6jrojQCrryCA,Whiteboard Science,@whiteboardscience2194,,3,2,45,22.5,15.0,1,0,Easy to understand science tutorials made by two siblings! We specialize in physics and math. Our channel aims to teach science concepts through the u
UCt8AFtdYHHCh85QKN4dbusg,Doodle History,@doodlehistoryhq,PT,56,142,22388,157.66197183098592,399.7857142857143,1,0,"Doodle History turns the past into fast, dramatic, stick‑figure stories. Big moments, strange turns, and the people behind them — drawn simple so the "
UC8czjuG47EgqZGRbAPzpmsw,Mici Animations,@micianimations,,1340000,189,275871486,1459637.492063492,205.8742432835821,0,1,
UCEGcXNR0i6fG7NEUS5lDMgw,Stick Man Solves,@stickmansolves-s4x,IN,159,94,43392,461.6170212765957,272.9056603773585,1,1,Stick Man Solves  Tired of complex explanations? You've come to the right place! Stick Man breaks down big ideas—from the Pareto Principle and Psychol
UCt7vN_ihqLbL9P6T0Iu9Vmg,Whiteboard Wise,@whiteboardwise,IN,9,11,1003,91.1818181818182,111.44444444444444,1,1,"Welcome to Whiteboard Wise!  We make complex topics simple and entertainment more insightful.  Join us as we demystify the world of Science, Technolo"
UCKYb7dZwd5VQT2ArAOn2g2A,Zeruel82Mk2,@zeruel82mk2,SE,434000,395,232332765,588184.2151898735,535.3289516129032,1,1,"I make stick figure animations with action, humor, emotion, and excitement!  This channel has three ongoing series:  *The Cliff and The Stickworld:  T"
UCl1BaAUlba9Ro22QvTTlHTw,Rai Lukasha,@railukasha,GB,40100,60,4234522,70575.36666666667,105.59905236907731,1,1,"2D Stick Figure Animator on Stick Nodes, posting animations, time-lapses, and collaborations.  Welcome to the channel‼️ My name is Rai, and I animate "
UCLuqAaFpnTZVNAOC_j409Gw,Stickman Kingdom,@stickmankingdom,,74300,58,14548448,250835.3103448276,195.80683714670252,0,0,Stickman Kingdom is a place where the stickmans live. I am creating the whole new world of Stickman. Subscribe and Become a part of the Kingdom.    St
UCAqO2LsbxDwo7TfuJsK-ApQ,Whiteboard classes by Devipriya,@whiteboardphysicsmaths.,IN,1430,65,125659,1933.215384615385,87.87342657342657,1,0,Dear students ..... This channel is completely made for learning physics  and complementary mathematics ..The channel provides you classes of physics 
UCwNnp0g_rwx7KISPG_qF02g,Whiteboard Science,@whiteboardscience952,IE,2,1,87,87.0,43.5,1,0,Science explained simply.
UC3cm2xrWY0evUfbg-1Fdz0w,Light Lizard,@thelightlizard,US,2,2,33,16.5,16.5,1,1,"LightLizard brings ideas to life through whiteboard animation. Explore fascinating topics from science, history, psychology, philosophy, mysteries, an"
UCUtEssPBikYzgn5pXyf9zCw,Doodle Stories,@doodlestories34,IN,5,4,94,23.5,18.8,1,1,"Welcome to Doodle Stories! ✏️📖  History isn't boring—it's full of mysteries, forgotten civilizations, unbelievable discoveries, and incredible true st"
UCcvvKL3oigjGWvaZNomESgQ,Sketchosophy,@sketchosophy,IN,0,1,5,5.0,0.0,1,1,"Sketchosophy  Simple drawings. Deep ideas. This channel takes the biggest questions in philosophy, history, and stoicism — and breaks them down with h"
UCs-cEuOtI2ScnD3VEdGvqqg,History with Doodles,@historywithdoodles8182,US,225,48,9463,197.14583333333331,42.05777777777778,1,0,There is a great deal of scientific research that tells us how different parts of our brain play different roles in processing information.  While one
UCE8S3xYjCGfYErGYWaLLEXw,DraftFable | Whiteboard Stories ,@draftfable_official,PK,7,1,45,45.0,6.428571428571429,1,1,"🎨 Welcome to DraftFable! ✏️ Where Whiteboard Stories Come to Life 📖    We transform complex ideas into engaging, hand-drawn tales that stick. From bus"
UCtGwOYMRnVxs8Ge38d8lxVg,The Wealth Board,@thewealthboardhq1,US,42,8,1045,130.625,24.88095238095238,1,1,"The Wealth Board is a finance and investing YouTube channel dedicated to breaking down money, wealth building, business, and investing concepts using "
UCqzummrpV19LxmJxvDnpk2Q,Whiteboard Vault ,@whiteboardvault,,1,3,1698,566.0,1698.0,1,1,"🎉 Welcome to Whiteboard Vault — where complex ideas become simple, visual, and unforgettable! 🧠 We break down fascinating concepts across science, his"
UCjzuLwOTSRxxmWaPWXJsMCQ,Whiteboard Academy UK,@whiteboardacademyuk,GB,18,62,3103,50.04838709677419,172.38888888888889,1,0,"🎓 Whiteboard Academy   GCSE learning made simple. Short, whiteboard‑style videos that break down Citizenship, PE Theory, and Business Studies into cle"
UCL_v4tC26PvOFytV1_eEVSg,Marko - WhiteBoard Finance,@whiteboardfinance,US,1030000,425,69726050,164061.29411764705,67.69519417475728,1,0,My mission is to provide my viewers with actionable content that enables them to create financial wealth. My videos are a reflection of my real-world 
UCt6C_RdHBW2gng9jtGD9mGQ,Daria Moque,@darmoque,,75,30,56741,1891.3666666666663,756.5466666666666,0,1,Adult cartoons with intellectual pretensions.  
UCQbn37TjVJbw46HZbRmFLaQ,Doodle Origins,@doodleorigins-i6b,IN,5,1,31,31.0,6.2,1,1,"Doodle Origins is a hand-drawn animated YouTube channel exploring human evolution, anthropology, psychology, and history — the real science behind eve"
UCd9C8QQ9ZosyLyClyeerlfw,Jonathon Durno,@jonathondurno_art,,9,8,3376,422.0,375.1111111111111,0,0,Art
UCQ1BDN-6vS-_2r3F6SLWaMg,Ugly Sketches Explain,@uglysketchesexplain,,0,1,16,16.0,0.0,1,1,"Can you learn complex life lessons, financial freedom, and deep philosophy through terrible MS Paint drawings? Yes, you can!  On this channel, we stri"
UCnwUjPK7dXety-AJ4fNw_RQ,The Paint Explainer,@thepaintexplainer,,1980000,164,308490503,1881039.6524390243,155.80328434343434,0,0,"I explain interesting stuff.  💼 Business Mail (for sponsorship inquiries, etc.): operamp4@gmail.com  How I use AI: The voiceover is generated using st"
UC2Mk7yY2ZvgxsGXcj9pjh8A,Pastel Cosmos,@thepastelcosmos,TR,7,6,278,46.333333333333336,39.71428571428572,1,1,Welcome to Pastel Cosmos — where the greatest stories of humanity are told through the simplicity of pastel crayon drawings.  We explore the epic jour
UCGv0wVi4clMkFyCYq0HWp1w,The Historic Doodle,@thehistoricdoodle,US,0,2,114,57.0,0.0,1,1,"Welcome to The Historic Doodle, where the strange story of humanity is explained through simple stickman drawings.  We explore ancient humans, human e"
UCRA5P6XfDApc7YuwKRUIeZw,Whiteboard PMP,@whiteboardpmp,,4,41,1113,27.146341463414632,278.25,1,0,"Studying for the PMP® exam? You're in the right place.  Whiteboard PMP breaks down the **2026 PMP exam** — built on the **PMBOK® Guide, 8th edition** "
UCgkWCivQ7hTxSPKX2UY0nfw,Doodle Chronicles,@doodlechronicles-y3s,,14,12,5077,423.0833333333333,362.6428571428572,1,1,✏️ Welcome to Doodle Chronicles — where history comes to life through fun animated drawings!  📜 Every video is a 2-minute animated short covering the 
UCq68z1TXXNhpsiT2xUGoMww,Stick Theory,@sticktheory-v4j8t,TH,1,3,9,3.0,9.0,0,1,"Big ideas made simple through engaging stickman animations. Psychology, science, history, and life lessons explained in minutes. Learn something valua"
UCeLe9gr7c9CsAtFusECY18g,ToonStarterz Doodles,@toonstarterzdoodles,US,79200,96,10064760,104841.25,127.08030303030304,1,0,I draw things. Coherency not guaranteed. business: toonstarterz.business@gmail.com  Support me on Patreon: https://www.patreon.com/ToonStarterz Follow
UC_aDIy72T1xTYLQ8TIf102Q,Drawntology,@drawntology,US,100,64,36676,573.0625,366.76,1,1,"Welcome to Drawntology: The study of reality through terrible drawings. We explain the universe, geopolitics, history, and philosophy using stick figu"
UCAh5CuyvW-bQqgIe_WO8zTw,Toadlet,@toadlet-knowledge,,12,9,6744,749.3333333333334,562.0,0,1,Complicated topics explained in short simple easy to understand yet humorous animations by a cute little toadlet.   Everything is human voiced and dra
UC-fsWUABzMGi7QQffpLjLYQ,fissionmarketing whiteboard ,@fissionmarketingwhiteboard,,6,23,208,9.043478260869565,34.666666666666664,1,0,"🌟 Discover, Learn & Grow with [FISSION MARKETING] Welcome to a channel where creativity meets knowledge. We bring you valuable content on [insert your"
UCPfI1Qx_PiG5fDhiutu_0Vg,Whiteboard Accountant,@whiteboardaccountant,,20,6,339,56.5,16.95,1,0,Welcome to Whiteboard Accountant - Your Ultimate Guide to Accounting & Finance!  Are you looking to master accounting and finance from scratch? Whethe
UCdkozybZ-oL4hoaQPYOxryw,Explain with Doodles,@explainwithdoodles,US,5,30,706,23.53333333333333,141.2,1,1,"Welcome to ""Explain with Doodles"" — your animated gateway to the fascinating world of ancient history, human evolution, lost civilizations, and mind-b"
UCBLyCtUKs7X8EK7cTV9sl0Q,Whiteboard-kp,@whiteboard-kp,IN,148,49,12466,254.4081632653061,84.22972972972973,1,0,"✨  Welcome to My Channel   Whiteboard-kp our Learning, world of motivation, success, investing, mindset, and self-growth.    Here you’ll find powerful"
UCRRnSCecOdSu5FXXAzLMXMw,Whiteboard Nation,@whiteboardnation,IN,38400,202,1947960,9643.366336633664,50.728125,1,0,"Videos Related to Personal Finance, Self Development, Book Summaries  Business Queries whiteboardnation@gmail.com "
UCHo0_6iJMCllAPM1xumXBNQ,doodle timeline,@doodletimeline,,4,3,1614,538.0,403.5,1,0,
UCERmbpbfrcIrsJoaGrE8kXg,Sketch Sagas,@sketchsagas1,GB,39,36,17942,498.3888888888889,460.0512820512821,1,1,"Welcome to a world of animated stories, hilarious stand-up comedy, surprising science, fascinating history, psychology, and thought-provoking ideas—al"
UC5DYfx3zy2gTb4N1ZOgS0vA,Whiteboard,@whiteboard.ai96,PK,2,4,18,4.5,9.0,1,0,"Whiteboard is dedicated to cutting through the noise of the digital economy. If you are looking for actionable strategies on how to make money online,"
UCroV52yaP8hYtBzFVNDHOrw,EB Whiteboard Finance,@ebwhiteboard-finance,IN,0,2,8,4.0,0.0,1,1,"Welcome to EB Whiteboard Finance! At EB Whiteboard Finance, we explain Stock Market, Investing, Personal Finance, Business, Economics, IPOs, Sensex, N"
UCeNcrdixBRmEOGECPjnsKLA,Whiteboard Circuit,@whiteboardcircuit,,5,30,374,12.466666666666669,74.8,1,0,"Becoming The Leaders of The Future, One Step at a Time.  Welcome to Whiteboard Circuit. I share Business and Leadership stories, often with lessons th"
UCTPWoDceQ7Mktjh7LlUFVJA,Doodle Why,@doodlewhy26,,1,1,14,14.0,14.0,1,1,"Big questions explained with simple drawings.  This channel turns curious facts, everyday mysteries, history, and unusual ideas into short animated st"
UCDNwktWMeZNe29lCQvp90tA,WHITEBOARD PROJECT MANAGEMENT,@whiteboardprojectmanagement,CZ,1820,87,56941,654.4942528735633,31.286263736263734,1,0,WPM    [Whiteboard Project Management]:  -------------------------------------------------------------------- This Channel has been created to upload 
UCdL0Zdq18Wrtx5yRLFgiwDA,Wealthboard ,@wealthxboard,,106000,339,15153686,44701.13864306785,142.95930188679245,1,0,This platform is dedicated to providing high-quality financial education and market awareness in a simple and practical way. We share well-researched 
UCZwtH49UnDTPzY76_PhUB1Q,History with Jack,@historywithjacktv,,2,4,108,27.0,54.0,1,1,"History is full of stories stranger, darker, and more fascinating than fiction — and most of them never made it into your textbook. History with Jack "
UChrxpbC7S9AMVi0k0MUvpKA,Whiteboard master,@whiteboardmaster-q9u,,6,4,1768,442.0,294.6666666666667,1,0,"Welcome to Whiteboard Master — where everything is explained simply.  From science, history, business, finance, technology, psychology, gaming, movies"
UCq2ZlIv9JV5l7BbE1TqxMSg,Doodle Why,@doodlewhyy,,6,29,11202,386.2758620689655,1867.0,1,1,"Why do we do the things we do?  Welcome to Doodle Why, where we explore the deepest questions about human psychology, ancient history, biology, and ph"
UCuLo_NnnRXlUOYN4IexYhRQ,whiteboard financials,@whiteboardfinancials,KE,3,3,182,60.66666666666666,60.66666666666666,1,1," The content on this channel is for entertainment purposes only.  👋 Hi, I’m John, and welcome to my channel! If you're looking for practical tips on m"
UCQfbyVrp95P2gjDm7VJWXtw,Doom and Doodles,@doomanddoodles,PK,490,16,1354,84.625,2.763265306122449,1,1,"Doom & Doodles is history with the boring parts drawn out of it.  Every week we take the darkest, strangest, most morbidly fascinating corners of the "
UC9sjrQZK_nI2WYfbQJhAAww,Whiteboard Explained,@whiteboardexplainedsimply,US,7,4,98,24.5,14.0,1,0,"Whiteboard Explained makes complex ideas simple.  From finance and business to money, science and technology, we turn complicated topics into clear, e"
UC0ZH5ZRBzAMPB82YK-6s42Q,Whiteboard Investors,@whiteboardinvestors4984,,4,2,799,399.5,199.75,1,0,
UCrnBb12Z1vQQQ4CFSf8yf0Q,Doodle Documentaries,@doodledocumentaries-1,,16,2,2262,1131.0,141.375,1,1,"Doodle Documentaries history, sketched to life. Every episode breaks down a huge moment in history in under 10 minutes, using simple stickman animatio"
UC2lKzOkJ3m-3ooMtrOkX1nQ,History Doodles,@historydoodlesyt,,2,3,15,5.0,7.5,1,1,"Welcome to History Doodles! 🏛️ History has never been this fun! We turn fascinating historical events, ancient civilizations, famous people, and unbel"
UCHLkx5ezEfdTx_EVD1t5eSA,Whiteboard Investing,@whiteboard-investing,NO,627,36,24983,693.9722222222222,39.845295055821374,1,0,"Want to learn about investing and personal finance? Subscribe to the channel for more videos on how to earn more money, how to manage debt, how to mak"
UCNtvL2HAfkg9C2gEp57ffcA,Far East Philosophy,@fareastphilosophy,,108,55,4423,80.41818181818182,40.9537037037037,0,1,"Welcome to Far East Philosophy — ancient wisdom, modern perspective. This channel introduces Eastern philosophy through modern animation and visual st"
UCf673ziD5hpT3UJVX02l3oQ,Doodle It Out,@doodleitout26,,12,9,5177,575.2222222222222,431.4166666666667,1,0,"Doodle It Out breaks down big topics — history, government, science, and the weird stuff nobody explains well — using nothing but a marker, Paint, and"
UC-GRqSZRLXSLVHL_YUIDKGA,Whiteboard Visuals,@doodlesketch-y5d,,1,5,36,7.2,36.0,1,0,"1. Business Growth Tips ""Discover 5 proven strategies to grow your business and boost your success!""  2. Productivity Hacks ""Learn 7 simple hacks to b"
UC9Bk2J0Fr-XVRSYEcjEjm2g, Doodle Decoded,@doodledecoded4,IN,56,8,1369,171.125,24.446428571428573,1,0,
UCq3aHwjERCcPArJdQAIln-w,Whiteboard Files,@whiteboardfiles,US,11,55,4991,90.74545454545456,453.7272727272728,1,0,
UCk-FTeFBbuhuIK5UHiAazZw,Drawn and Explained ,@drawn_and_explained,,5,7,3433,490.4285714285714,686.6,0,1,"Terribly drawn, poorly animated, simply explained.   My dream is to make this channel your go-to-channel for all things Anime, Manga, Manwha and more."
UCT6kl8HDMCYI1UwTbf9RPyw,Sketchy Growth,@sketchygrowth,,137,8,2084,260.5,15.211678832116789,1,1,"Welcome to Sketchy Growth – Animated Ideas for a Better You!  At Sketchy Growth, we turn powerful growth concepts into simple, engaging sketch-style v"
UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,@crashcourse,US,17200000,1707,2285425627,1338855.0831868777,132.87358296511627,0,0,"At Crash Course, we believe that high-quality educational videos should be available to everyone for free! Subscribe for weekly videos from our curren"
UCg5JwZL80HoiT3D-kc3s6QQ,Mind Hack Sketch,@mindhacksketch,,14,24,2059,85.79166666666667,147.07142857142858,1,0,"Your mind keeps you stuck, overthinking, procrastinating, repeating the same patterns. MindHack Sketch shows you why, through simple stickman sketches"
UCom6cHr3gZRClfiBv9vdKew,SketchitOut,@sketchitouttv,,68,14,13582,970.1428571428572,199.73529411764707,1,0,
UCNq1R2fl98rlANcAA0mULrg,The Modern Philosophical Scroll ,@themodernphilosophicalscroll1,,46,25,9368,374.72,203.65217391304347,0,1,Welcome to The Modern Philosophical Scroll! 📜✨ We believe that timeless wisdom and powerful stories are just as relevant today as they were thousands 
UChRpYIW7rEpXK5wCOWr2oWA,The Stress Sketch,@thestresssketch,US,4,2,25,12.5,6.25,1,1,Welcome to **The Stress Sketch**.  This channel uses simple stick-figure animations to explain complex mental health topics in a relatable way.  We ex
UCzUF4lceTko8INn1M-H67AQ,Caelum_Astros,@caelum_astros,US,157000,642,28385144,44213.619937694704,180.7970955414013,0,0,Trans man Demon Artist | Content Creator & Streamer | Voice Actor | Designer 
UCNIuvl7V8zACPpTmmNIqP2A,OverSimplified,@oversimplified,US,9610000,33,1414810146,42873034.72727273,147.22269989594173,0,0,Explaining things in an OverSimplified way  
UC0Ehu42_No5pa5tOuGAxVbw,Stick Figure Thoughts,@stickfigurethoughts,US,2,6,0,0.0,0.0,1,1,"Welcome. 🧠✨  Simple drawings. Deep questions.  Every short here is a small piece of a bigger thought — about life, meaning, fear, growth, and the thin"
UCD4HON5GCouCk3kSfCIwt6A,C9 Sketching Animation ,@c9sketchinganimation,,68,25,36895,1475.8,542.5735294117648,1,1,"Welcome to my sketching world!    Here I create pictures that speak louder than words — sometimes funny, sometimes emotional, sometimes informative, b"
